"COMPETENCIAS","","TORNEOS"
"LIGA","","APERTURA"
"COPA","","CLAUSURA"
"","","PROVINCIAL"
"","","PRE TEMPORADA"
"","","POST TEMPORADA"
"","","MUNDIAL"
